node_name/poi_id,checkin_cnt,poi_deltat,poi_index,latitude,longitude
1,13,49.84615384615385,1,40.73359624463056,-74.00313913822173
2,12,37.083333333333336,2,40.75637696194763,-73.96765297606291
3,12,20.166666666666668,3,40.73968518262072,-74.00601983070374
4,16,89.75,4,40.71836264775439,-73.99081662273129
5,18,55.22222222222222,5,40.72284169882771,-73.9941164689654
6,8,41.625,6,40.756161,-73.967686
7,26,48.03846153846154,7,40.734920418547006,-73.98829722365633
8,14,37.714285714285715,8,40.736827000000005,-73.986909
9,26,97.6923076923077,9,40.773007016604225,-73.9158862978038
10,18,37.666666666666664,10,40.72194134585809,-73.99625896236421
11,12,70.08333333333333,11,40.72607169369348,-73.98347854614258
12,33,76.87878787878788,12,40.72988845526377,-74.0006126959103
13,9,48.77777777777778,13,40.73258001246407,-74.00255978107451
14,16,49.1875,14,40.75739368035236,-73.99330097284587
15,20,72.1,15,40.785953000000006,-73.976422
16,17,55.470588235294116,16,40.732330455258435,-74.0016399059716
17,34,47.88235294117647,17,40.721100383119634,-73.98792418909154
18,13,96.61538461538461,18,40.759153183645466,-73.97472977757178
19,14,67.0,19,40.737556697609854,-74.00818752322094
20,27,112.92592592592592,20,40.763315061816776,-73.98416510802595
21,8,48.375,21,40.736626773991354,-73.9908854896675
22,14,80.78571428571429,22,40.72306684493416,-73.98850382710332
23,11,76.27272727272727,23,40.781856,-73.97922700000001
24,9,80.33333333333333,24,40.72510954367323,-73.98130127017728
25,14,62.214285714285715,25,40.724622472400895,-73.99586106037441
26,8,27.875,26,40.72837781084186,-73.99953957113458
27,20,72.9,27,40.738783243269246,-73.98893998920552
28,10,118.6,28,40.72547161917389,-73.98378318991935
29,21,129.42857142857142,29,40.71634664858483,-73.98854255676271
30,13,80.0,30,40.74455698610794,-73.99065019420006
31,19,99.21052631578948,31,40.78058919476669,-73.98073882807061
32,8,17.75,32,40.71985365222551,-73.98849234913988
33,30,64.93333333333334,33,40.752294,-74.008758
34,27,164.8148148148148,34,40.77253079341116,-73.98344197864982
35,7,213.85714285714286,35,40.71999968137271,-73.9878323650875
36,11,30.454545454545453,36,40.72488010976164,-73.9946846106741
37,19,37.578947368421055,37,40.736949700653255,-73.99083852767943
38,14,43.357142857142854,38,40.73083196786713,-74.00095127413708
39,36,87.11111111111111,39,40.72610421654397,-73.98921310901642
40,10,31.3,40,40.72854337080716,-73.98469884462888
41,10,71.2,41,40.730178,-74.0003224
42,36,62.083333333333336,42,40.78055767997081,-73.98171901702881
43,13,9.692307692307692,43,40.72429670694692,-73.98805618602044
44,4,54.5,44,40.77836414910471,-73.98163318634033
45,14,134.35714285714286,45,40.734289596486384,-73.99255550530141
46,10,26.5,46,40.715594,-73.998234
47,8,54.25,47,40.771142,-73.983464
48,11,65.63636363636364,48,40.76026765576888,-73.97512579527391
49,125,93.144,49,40.73169799836347,-73.98922693741638
50,16,99.75,50,40.72961659084589,-73.98979783058168
51,10,155.8,51,40.730465,-74.00426030158997
52,11,102.9090909090909,52,40.72842472502752,-73.98727568112258
53,11,66.72727272727273,53,40.747890000000005,-74.00446600000001
54,22,110.77272727272727,54,40.714464086511576,-73.9991158246994
55,22,46.86363636363637,55,40.73354816138232,-73.99102896237186
56,15,180.8,56,40.72449429624432,-73.99334746639536
57,9,120.66666666666667,57,40.735892872147936,-74.0052044391632
58,9,74.88888888888889,58,40.732431314296925,-74.0017489391183
59,21,48.95238095238095,59,40.727069731427825,-73.99190604686737
60,11,182.63636363636363,60,40.731093926169216,-74.00284500572216
61,9,69.33333333333333,61,40.78590309256444,-73.97648334503174
62,15,46.6,62,40.78231651442974,-73.98111283779143
63,12,18.75,63,40.75086599645483,-73.98664398454908
64,11,61.90909090909091,64,40.784270922908526,-73.97751336298825
65,10,131.9,65,40.721660896654456,-73.99736460996738
66,10,160.9,66,40.727177461693564,-74.000483751297
67,16,38.375,67,40.78345291250954,-73.97912610229315
68,20,97.55,68,40.745310248183095,-73.978421241045
69,11,111.0909090909091,69,40.745948999999996,-73.97780300000001
70,10,184.4,70,40.72975027856076,-73.97846034678166
71,9,42.0,71,40.74624500344291,-73.97755086421968
72,13,73.46153846153847,72,40.78588891408928,-73.97685908055269
73,13,49.92307692307692,73,40.71386,-73.951577
74,17,91.17647058823529,74,40.78279988109921,-73.9734148979187
75,7,74.71428571428571,75,40.74824067885461,-73.97668116125988
76,31,61.354838709677416,76,40.736531707543286,-73.9908281005557
77,9,25.444444444444443,77,40.743643912743615,-73.98388825356959
78,9,26.0,78,40.734667750589026,-73.98776349705562
79,13,181.76923076923077,79,40.72201114788852,-74.00430259242555
80,12,87.25,80,40.727119,-73.993104
81,18,47.5,81,40.745212,-73.978328
82,11,65.18181818181819,82,40.71883289192165,-73.95662114190907
83,4,48.25,83,40.74510703877938,-73.97835016250609
84,10,73.5,84,40.729470245617904,-73.9879846572876
85,10,24.9,85,40.72860234874153,-73.98996152288103
86,53,89.26415094339623,86,40.74065934700641,-73.99826558632256
87,24,41.166666666666664,87,40.73821643777286,-73.9878495820916
88,9,80.33333333333333,88,40.72218618767068,-73.99712358372733
89,25,35.52,89,40.72158048138015,-73.9576371072213
90,19,39.8421052631579,90,40.730928000000006,-73.991353
91,6,41.666666666666664,91,40.79884087578913,-73.96306123830033
92,15,48.4,92,40.736827759759436,-73.99064540863037
93,8,35.75,93,40.72156712536507,-73.99559140205382
94,8,169.25,94,40.727453900822795,-73.98476600646974
95,22,153.95454545454547,95,40.719434134171074,-73.95592660887341
96,15,133.93333333333334,96,40.7146424849308,-73.99764195084572
97,8,21.625,97,40.74235485559068,-73.98503171186688
98,6,120.16666666666667,98,40.814755,-73.958872
99,10,116.6,99,40.737216,-73.98934799999999
100,14,59.142857142857146,100,40.74233400165071,-73.98385519576952
101,10,41.4,101,40.768369,-73.955709
102,17,56.76470588235294,102,40.754573280867625,-73.9775994526167
103,11,33.09090909090909,103,40.737715562881775,-73.98822261680138
104,11,31.545454545454547,104,40.71804197564418,-73.95757903554863
105,37,91.62162162162163,105,40.75187357799962,-73.97408008575441
106,10,169.6,106,40.7264680648502,-73.9956597983837
107,11,67.0,107,40.727242962267105,-73.98270162908769
108,19,48.421052631578945,108,40.75293,-73.974725
109,55,48.872727272727275,109,40.722705492718646,-73.99819850921631
110,5,71.0,110,40.752726016366246,-73.97771096553126
111,10,14.9,111,40.727145715564426,-74.00021099215294
112,13,117.46153846153847,112,40.7761672,-73.9561516
113,23,51.34782608695652,113,40.736987998113385,-73.98458000000001
114,9,81.22222222222223,114,40.75250498676928,-73.97758003761531
115,8,55.5,115,40.77887659371932,-73.95391187494351
116,7,18.571428571428573,116,40.740892335768336,-73.98833870887756
117,14,162.28571428571428,117,40.738210271475886,-73.98364858732077
118,5,250.0,118,40.76198065788244,-73.99002465118821
